date,ticker,group,open,close,high,low,volume,ingest_date,ma30,ma30_slope_pct,ma30_slope_signal,ma30_slope_signal_confirmed,price_to_ma_pct,price_vs_ma_signal,price_vs_ma_breakout,price_vs_ma_signal_confirmed,bench_close,rs_ratio,rs_slope_pct,rs_slope_signal,rs_slope_signal_confirmed,recent_avg_vol,vol_factor,recent_max_vol,vol_rank_pct,up_week,vol_on_up,vol_on_down,accumulation_score,breakout_volume_ok,accumulation_confirmed,distribution_confirmed,stage_score_core,stage_label_core,stage_reason,market_stage_core,market_score_core,market_alignment_state,market_multiplier,base_quality_score,momentum_confirmed,stage_score_adj,stage_label_adj,stage_label_override_reason
2025-12-15,AFRM,Leader,67.77,76.22,78.5,64.9,38799726,2025-12-20,71.53533333333333,0.9475934367343678,rising,rising,6.548745142260709,above,True,unconfirmed_above,680.59,0.11199106657458968,1.2822017152603495,rising,unconfirmed_rising,25818111.5,1.5028103817740504,88966186,0.43611767284257863,True,1,0,0.125,True,False,False,0.4,Stage 3, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.2191227798357284,False,0.36191227798357284,Stage 3,
2025-10-27,ALAB,Leader,171.0,186.68,201.86,166.7304,22541023,2025-12-20,133.96016666666665,3.4721003409431037,rising,rising,39.35485797394998,above,False,above,680.0681604067,0.2745018968221657,-1.682646706653479,falling,falling,30393665.25,0.7416355617063987,56828704,0.39664854929649634,True,0,0,0.125,False,False,False,0.7,Stage 1, |  |  | ,Stage 3,0.5,watch,0.6,0.1,False,0.43,Stage 1,
2025-11-03,ALAB,Leader,191.385,165.49,198.24,151.61,37480761,2025-12-20,137.47216666666662,3.1815454401099412,rising,rising,20.380731614763274,above,False,above,669.0105468553,0.2473653080327204,-3.5552547114797295,falling,falling,32565016.25,1.1509517057280756,45940924,0.8158469124391142,False,0,0,0.125,False,False,False,0.7,Stage 1, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.1,False,0.605,Stage 1,
2025-11-10,ALAB,Leader,173.0,144.34,176.8,136.6434,27435192,2025-12-20,140.31816666666663,2.8025215489514914,rising,rising,2.8662242593914855,above,False,above,669.9677433394,0.21544320817678317,-6.394659187776694,falling,falling,28197640.0,0.9729605740054842,45940924,0.5971841576368817,False,0,0,0.0,False,False,False,0.7,Stage 1, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.1,False,0.605,Stage 1,
2025-11-17,ALAB,Leader,145.375,141.8,160.7725,131.42,30846846,2025-12-20,142.84116666666665,2.6679538466624764,rising,rising,-0.7288981817799776,near,False,unconfirmed_near,657.1054155835,0.21579490388780875,-2.1084752371581725,falling,falling,29575955.5,1.0429703953267038,45940924,0.6714459204172732,False,0,0,0.0,False,False,False,0.4,Stage 3, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.14,False,0.35400000000000004,Stage 3,
2025-11-24,ALAB,Leader,145.73,157.57,158.42,136.54,25321799,2025-12-20,145.7178333333333,2.504308164728261,rising,rising,8.133641844340746,above,False,unconfirmed_above,681.3942763692,0.23124643905083786,-1.0687648296657466,falling,falling,30271149.5,0.8364994200170693,45940924,0.5511817524610519,True,0,0,0.0,False,False,False,0.4,Stage 3, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.10666666666666667,False,0.3506666666666667,Stage 3,
2025-12-01,ALAB,Leader,155.62,161.23,182.53,142.51,41387178,2025-12-20,148.7188333333333,2.203441072657167,rising,rising,8.412630993832904,above,False,unconfirmed_above,683.6875596125,0.23582409498774826,-2.818035305561083,falling,falling,31247753.75,1.3244848999746102,45940924,0.9008782235202757,True,0,0,0.0,True,False,False,0.4,Stage 3, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.07536517126986436,False,0.34753651712698647,Stage 3,
2025-12-08,ALAB,Leader,162.9,148.85,176.65,146.88,31719354,2025-12-20,150.6618333333333,1.918885398620087,rising,rising,-1.2025828262189682,near,False,unconfirmed_near,679.7690365054,0.2189714329520179,-2.295703896922091,falling,falling,32318794.25,0.981452270608765,45940924,0.6904378762603904,False,0,0,0.0,False,False,False,0.4,Stage 3, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.08000000000000002,False,0.34800000000000003,Stage 3,
2025-12-15,ALAB,Leader,150.5,164.4,166.93,140.1,26541935,2025-12-20,152.9878333333333,1.8058483755370245,rising,rising,7.459525648553781,above,False,unconfirmed_above,680.59,0.24155512129182033,2.4240182214155372,rising,unconfirmed_rising,31242566.5,0.8495440027310176,45940924,0.5777405565460547,True,0,0,0.0,False,False,False,0.4,Stage 3, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.33,False,0.373,Stage 3,
2025-10-27,AMD,Leader,257.88,256.12,267.0799,249.8001,242009071,2025-12-20,151.00650000000002,3.200805079374834,rising,rising,69.60859300758575,above,False,above,680.0681604067,0.3766093090534234,11.17016029148563,rising,rising,405414489.0,0.5969423332573592,737538554,0.3281307393186119,True,0,0,0.125,False,False,False,0.9,Stage 2, |  |  | ,Stage 3,0.5,watch,0.6,0.1,True,0.44000000000000006,Stage1_watch,market_restriction
2025-11-03,AMD,Leader,259.33,233.54,260.91,224.6401,278113180,2025-12-20,155.67783333333335,3.5307143226020994,rising,rising,50.014934688839205,above,False,above,669.0105468553,0.34908268800508496,8.290205705590589,rising,rising,290558145.5,0.9571687605639677,737538554,0.37708290433316116,False,0,0,0.125,False,False,False,0.9,Stage 2, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.1,True,0.6200000000000001,Stage1_watch,base_quality
2025-11-10,AMD,Leader,242.135,246.81,263.51,234.64,324474624,2025-12-20,160.9881666666667,3.6544675578150576,rising,rising,53.30940472850486,above,False,above,669.9677433394,0.3683908702377155,2.323319911403909,rising,rising,279593828.5,1.1605214097206011,737538554,0.4399425931569674,True,0,0,0.125,False,False,False,0.9,Stage 2, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.1,True,0.6200000000000001,Stage1_watch,base_quality
2025-11-17,AMD,Leader,242.745,203.78,248.77,195.0,269419516,2025-12-20,164.55933333333334,3.451884559521249,rising,rising,23.833753985391283,above,False,above,657.1054155835,0.310117669353016,-2.3719429854810286,falling,unconfirmed_falling,278504097.75,0.9673807968234823,737538554,0.3652955015555702,False,0,0,0.125,False,False,False,0.7,Stage 1, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.1,True,0.655,Stage 1,
2025-11-24,AMD,Leader,207.16,217.53,218.3,194.275,178451284,2025-12-20,168.517,3.1912904960852826,rising,rising,29.08489944634666,above,False,above,681.3942763692,0.3192424819872359,-2.9530621983173138,falling,unconfirmed_falling,262614651.0,0.6795176252371388,737538554,0.2419551941145032,True,0,0,0.125,False,False,False,0.7,Stage 1, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.1,True,0.655,Stage 1,
2025-12-01,AMD,Leader,213.875,217.97,225.98,211.7686,159086964,2025-12-20,172.35466666666667,2.8274500325041183,rising,rising,26.465969396438343,above,False,above,683.6875596125,0.318815220396201,-3.069180037130949,falling,falling,232858097.0,0.6831927515065108,737538554,0.21569986156954177,True,0,0,0.0,False,False,False,0.7,Stage 1, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.1,True,0.655,Stage 1,
2025-12-08,AMD,Leader,219.085,210.78,224.84,209.06,145907247,2025-12-20,175.475,2.5433507446467933,rising,rising,20.119675167402768,above,False,above,679.7690365054,0.310075906198363,-2.234816170898384,falling,falling,188216252.75,0.775210667878946,737538554,0.1978299930338286,False,0,0,0.0,False,False,False,0.7,Stage 1, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.1,True,0.655,Stage 1,
2025-12-15,AMD,Leader,212.28,213.43,215.36,197.53,170164754,2025-12-20,178.91233333333332,2.226768220024447,rising,rising,19.293061592549062,above,False,above,680.59,0.31359555679630907,-2.974846439926596,falling,falling,163402562.25,1.0413836335054165,737538554,0.2307198085810169,True,0,0,0.0,False,False,False,0.7,Stage 1, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.1,True,0.655,Stage 1,
